fid,OBJECTID,Name,Tonnes,Commodity,Dates,InfoSource,AreaHa,Latitude,Longitude
"1","1",Forest Hill (McConnell),6038,Gold,1896-1916,"Assessment Report (21-G-13 (17)); Aerial Photography and Lidar Imagery; likely tailings downstream",0.996788,45.3090557997611,-61.7473349273429
"2","2",Forest Hill (MacDonald),402,Gold,"1896","Assessment Report (21-G-13 (17)); Aerial Photography and Lidar Imagery (crushed tonnes uncertain)",0.407653,45.3075693883232,-61.7563529732644
"3","3",Goldboro (Richardson),7966,Gold,1892-1894,"See Faribault Gold District Map; Assessment Report 21-G-54 (07) and Mercator reports",0.63361,45.2018397210744,-61.6417952595538
"4","4",Goldboro,0,Gold,,"No detail available, indicated in Mercator report",1.42373,45.200596376943,-61.6386201702
"5","5",Smithfield,1000,"Zinc, Lead","1884-88, 1926, 1951-1952","Estimated tonnage, high sulphide content",0.172456,45.269455265525,-63.074716382767
"6","6",Stirling Main,955100,"Zinc, Lead, Copper","1935-1938, 1952-1956","See Jacques Whitford reports; Aerial Photography, Llidar imagery; likely tailings to East",15.0759,45.7268125367563,-60.4305547028236
"7","7","Sydney Mines, Ocean Street (Princess, Selminco, Coastal)",20000,Coal,"1875-1975, 1980-89",Tonnage estimated. Wash Plants operated from 1950 to 1989. Aerial Photography and Lidar Imagery,2.41636,46.2577907283548,-60.2346061228811
"8","8","Sydney Mines (Princess, Selminco, Coastal)",15000,Coal,"1875-1975, 1980-89",Tonnage estimated. Reclaimed between 2007 and 2010. Wash Plants operated from 1950 to 1989,1.89064,46.2576335933443,-60.2240406610241
"9","9","Sydney Mines, Edwards Pond (Princess, Selminco, Coastal)",175750,Coal,"1875-1975, 1980-89",See Stantec report and OFR 1995-010. Wash Plants operated from 1950 to 1989,13.0313,46.2514084505445,-60.2150680082224
"10","10",Scotchtown (Summit Dump),0,Coal,"1907-1987, 2009-2011","Aerial Photography; no tonnage estimate available, GCL cover over most tailings and waste",5.12529,46.2384603564996,-60.1132410788209
"11","11",Scotchtown (Summit Southeast),0,Coal,"1907-1987, 2009-2011","Aerial Photography; no tonnage estimate available, GCL cover over most tailings and waste",0.695745,46.2319817759921,-60.1080105279185
